 ,Nama Sekolah,NPSN,BP,Status,Last Sync,Jml Sync,PD,Rombel,Guru,Pegawai,R. Kelas,R. Lab,R. Perpus,Klaster
113,SMK MATARAM,20360363.0,SMK,Swasta,08 Aug 2024 08:04:32,25,599.0,24,43,6,27,1,1,1.0
114,SMK MUHAMMADIYAH 1,20328971.0,SMK,Swasta,01 Aug 2024 14:08:50,19,300.0,12,20,8,12,2,1,0.0
115,SMK NUSAPUTERA 1,20340722.0,SMK,Swasta,05 Aug 2024 08:12:30,9,184.0,8,11,6,9,4,1,0.0
116,SMK PELAYARAN AKPELNI,20353814.0,SMK,Swasta,23 Jul 2024 11:24:17,15,193.0,7,15,12,10,4,1,0.0
117,SMK PIKA,20341356.0,SMK,Swasta,13 Aug 2024 08:12:59,48,202.0,8,12,7,8,1,1,0.0
118,SMK THERESIANA,20328868.0,SMK,Swasta,-,12,425.0,20,35,8,30,8,3,1.0
119,SMK WALISONGO,20350713.0,SMK,Swasta,29 Jul 2024 19:02:31,24,305.0,11,27,5,12,2,1,0.0
124,SMK DR TJIPTO,20328966.0,SMK,Swasta,-,17,419.0,17,21,8,12,2,1,1.0
125,SMK SWADAYA,20328985.0,SMK,Swasta,19 Jul 2024 12:38:55,12,399.0,14,26,4,13,1,1,1.0
126,SMK TAMANSISWA,20331937.0,SMK,Swasta,29 Jul 2024 04:10:43,7,47.0,3,9,2,3,1,1,0.0
130,SMKN JATENG DI SEMARANG,69859366.0,SMK,Negeri,07 Aug 2024 15:03:28,53,355.0,15,47,30,24,6,1,1.0
131,SMK PELAYARAN WIRA SAMUDERA,20362119.0,SMK,Swasta,-,15,64.0,6,20,9,7,4,1,0.0
132,SMK DIPONEGORO,20360426.0,SMK,Swasta,13 Aug 2024 08:32:38,6,68.0,6,13,4,7,1,2,0.0
135,SMK SEPULUH NOPEMBER,20331936.0,SMK,Swasta,06 Aug 2024 15:27:58,23,345.0,11,22,6,14,2,1,0.0
Total,,,,,,3137,28167.47099999999,1989,3579,1103,2155,570,138,
